AVG QTY Per Serving,Category,Description,Serving Size (g),Energy (kcal),Protein (g),"Fat, Total (g)",Sat. Fat (g),Trans fatty acid (g),Cholesterol (mg),Carbohydrates (g),Dietary Fibre (g),Sugars (g),Sodium (mg)
Chicken Ham,Subway 6-Inch® Cold Subs,"Values include lettuce, tomatoes, cucumbers, mixed bell peppers and onions on multigrain bread",214,272,18.9,4.6,1.7,0,15,33.4,4.5,4.8,749
"Cold Cut Trio (with Turkey Bologna, Turkey Ham and Turkey Salami)",Subway 6-Inch® Cold Subs,"Values include lettuce, tomatoes, cucumbers, mixed bell peppers and onions on multigrain bread",214,272,19.8,4,1.4,0,32,33.7,5,4.6,812
Egg & Mayo (with Hard Boiled Egg),Subway 6-Inch® Cold Subs,"Values include lettuce, tomatoes, cucumbers, mixed bell peppers and onions on multigrain bread",228,354,14,16.9,3.4,0.3,110,31.2,4.6,4.3,469
"Italian B.M.T. (with Chicken Ham Slice, Beef Salami and Beef Pepperoni)",Subway 6-Inch® Cold Subs,"Values include lettuce, tomatoes, cucumbers, mixed bell peppers and onions on multigrain bread",220,330,20.4,10.5,4.4,0,14,33.4,4.5,4.6,892
Roast Beef,Subway 6-Inch® Cold Subs,"Values include lettuce, tomatoes, cucumbers, mixed bell peppers and onions on multigrain bread",214,281,24.6,3.7,1.4,0,27,32.1,4.4,4.9,613
"Subway ClubTM (with Turkey Breast, Chicken Ham Slice, Roast Beef)",Subway 6-Inch® Cold Subs,"Values include lettuce, tomatoes, cucumbers, mixed bell peppers and onions on multigrain bread",214,270,20.7,3.7,1.3,0,19,33.1,4.5,4.8,732
Tuna & Mayo,Subway 6-Inch® Cold Subs,"Values include lettuce, tomatoes, cucumbers, mixed bell peppers and onions on multigrain bread",228,455,22.1,24.5,3.9,0.7,34,31.2,4.4,4.4,593
Turkey Breast,Subway 6-Inch® Cold Subs,"Values include lettuce, tomatoes, cucumbers, mixed bell peppers and onions on multigrain bread",214,264,19.6,3.3,1,0,18,33.5,4.5,4.8,783
Spicy Italian (with Beef Salami and Beef Pepperoni),Subway 6-Inch® Cold Subs,"Values include lettuce, tomatoes, cucumbers, mixed bell peppers and onions on multigrain bread",226,389,22,16.4,7,0,13,33.4,4.4,4.5,1034
Subway Veggie Delite™,Subway 6-Inch® Cold Subs,"Values include lettuce, tomatoes, cucumbers, mixed bell peppers and onions on multigrain bread",154,207,10.2,2.2,0.7,0,0,31.1,4.4,4.3,278
Chicken Bulgogi,Subway 6-Inch® Hot Subs,"Values include lettuce, tomatoes, cucumbers, mixed bell peppers and onions on multigrain bread",247,328,27.1,4.4,1,0,0,38.8,4.6,11.2,854
